,maker,model,specific_model,year,mpg,type,transmission,warranty,engine,seats,cylinders,drivetype,fuel,displacement,power,torque,price,bluetooth,heatseat,navigation,label
12,Acura,MDX,2016 MDX SUV,2016, 19/27 mpg,SUV, 9-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,7,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 290 hp @ 6200 rpm, 267 ft-lbs. @ 4500 rpm,"$42,865 ",        Yes,        Yes,        No,2
13,Acura,RDX,2015 RDX SUV,2015, 20/28 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 273 hp @ 6200 rpm, 251 ft-lbs. @ 5000 rpm,"$35,095 ",        Yes,        Yes,        No,2
14,Acura,RLX,2016 RLX Hybrid,2016, 28/32 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Hybrid,5,V6, All Wheel Drive, Premium unleaded (recommended), 3.5 L, 377 hp @ 6500 rpm, 341 ft-lbs. @ 4700 rpm,"$59,950 ",        Yes,        Yes,        Yes,2
15,Acura,MDX,2015 MDX SUV,2015, 20/28 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,7,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 290 hp @ 6200 rpm, 267 ft-lbs. @ 4500 rpm,"$42,565 ",        Yes,        Yes,        No,2
16,Acura,TLX,2016 TLX Sedan,2016, 24/35 mpg,Sedan, 8-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.4 L, 206 hp @ 6800 rpm, 182 ft-lbs. @ 4500 rpm,"$31,695 ",        Yes,        Yes,        No,0
17,Acura,TLX,2015 TLX Sedan,2015, 24/35 mpg,Sedan, 8-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.4 L, 206 hp @ 6800 rpm, 182 ft-lbs. @ 4500 rpm,"$31,445 ",        Yes,        Yes,        No,0
18,Acura,RLX,2014 RLX Hybrid,2014, 28/32 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Hybrid,5,V6, All Wheel Drive, Premium unleaded (recommended), 3.5 L, 377 hp @ 6500 rpm,Not Available,"$59,950 ",        Yes,        Yes,        Yes,2
19,Acura,RLX,2016 RLX Sedan,2016, 20/31 mpg,Sedan, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 310 hp @ 6500 rpm, 272 ft-lbs. @ 4500 rpm,"$50,950 ",        Yes,        Yes,        Yes,2
20,Acura,RLX,2015 RLX Sedan,2015, 20/31 mpg,Sedan, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 310 hp @ 6500 rpm, 272 ft-lbs. @ 4500 rpm,"$48,450 ",        Yes,        Yes,        No,2
21,Acura,RLX,2014 RLX Sedan,2014, 20/31 mpg,Sedan, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, Front Wheel Drive, Premium unleaded (recommended), 3.5 L, 310 hp @ 6500 rpm, 272 ft-lbs. @ 4500 rpm,"$48,450 ",        Yes,        Yes,        No,2
22,Audi,TTS,2014 TTS Coupe,2014, 22/31 mpg,Coupe, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 265 hp @ 6000 rpm, 258 ft-lbs. @ 2500 rpm,"$48,700 ",        Yes,        Yes,        No,4
23,Audi,TTS,2016 TTS Coupe,2016, 23/27 mpg,Coupe, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L,Not Available,Not Available,"$51,900 ",        Yes,        Yes,        No,4
24,Audi,TTS,2015 TTS Coupe,2015, 22/31 mpg,Coupe, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 265 hp @ 6000 rpm, 258 ft-lbs. @ 2500 rpm,"$48,700 ",        Yes,        Yes,        No,4
25,Audi,TT,2016 TT Convertible,2016, 23/30 mpg,Convertible, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,2,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 220 hp @ 4500 rpm, 258 ft-lbs. @ 1600 rpm,"$46,400 ",        Yes,        No,        No,5
26,Audi,TT,2015 TT Convertible,2015, 22/31 mpg,Convertible, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,2,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 211 hp @ 4300 rpm, 258 ft-lbs. @ 1600 rpm,"$43,350 ",        Yes,        No,        No,5
27,Audi,S8,2016 S8 Sedan,2016, 17/27 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 520 hp @ 5800 rpm, 481 ft-lbs. @ 1700 rpm,"$114,900 ",        Yes,        Yes,        Yes,6
28,Audi,S8,2015 S8 Sedan,2015, 17/27 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 520 hp @ 5800 rpm, 481 ft-lbs. @ 1700 rpm,"$114,900 ",        Yes,        Yes,        Yes,6
29,Audi,SQ5,2016 SQ5 SUV,2016, 17/24 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 354 hp @ 6000 rpm, 346 ft-lbs. @ 4000 rpm,"$53,300 ",        Yes,        Yes,        No,2
30,Audi,S6,2015 S6 Sedan,2015, 17/27 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 420 hp @ 5500 rpm, 406 ft-lbs. @ 1400 rpm,"$75,500 ",        Yes,        Yes,        Yes,2
31,Audi,S8,2014 S8 Sedan,2014, 15/26 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 520 hp @ 6000 rpm, 481 ft-lbs. @ 5500 rpm,"$112,500 ",        Yes,        Yes,        Yes,6
32,Audi,S6,2016 S6 Sedan,2016, 18/27 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,V8, All Wheel Drive, Premium unleaded (required), 4.0 L,Not Available,Not Available,"$70,900 ",        Yes,        Yes,        Yes,2
33,Audi,S5,2016 S5 Convertible,2016, 18/26 mpg,Convertible, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$61,100 ",        Yes,        Yes,        No,7
34,Audi,RS 7,2016 RS 7 Sedan,2016, 15/25 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 560 hp @ 5700 rpm, 516 ft-lbs. @ 1750 rpm,"$108,900 ",        Yes,        Yes,        Yes,6
35,Audi,RS 7,2015 RS 7 Sedan,2015, 16/27 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 560 hp @ 5700 rpm, 516 ft-lbs. @ 1750 rpm,"$106,500 ",        Yes,        Yes,        Yes,6
36,Audi,RS 7,2014 RS 7 Sedan,2014, 16/27 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 560 hp @ 5700 rpm, 516 ft-lbs. @ 1750 rpm,"$104,900 ",        Yes,        Yes,        Yes,6
37,Audi,RS 5,2014 RS 5 Convertible,2014, 16/22 mpg,Convertible, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 450 hp @ 8250 rpm, 316 ft-lbs. @ 4000 rpm,"$77,900 ",        Yes,        Yes,        No,-1
38,Audi,RS 5,2015 RS 5 Coupe,2015, 16/23 mpg,Coupe, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 450 hp @ 8250 rpm, 316 ft-lbs. @ 4000 rpm,"$70,900 ",        Yes,        Yes,        No,-1
39,Audi,RS 5,2015 RS 5 Convertible,2015, 16/22 mpg,Convertible, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 450 hp @ 8250 rpm, 316 ft-lbs. @ 4000 rpm,"$79,200 ",        Yes,        Yes,        No,-1
40,Audi,Q7,2015 Q7 Diesel,2015, 19/28 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Diesel,7,V6, All Wheel Drive, Diesel, 3.0 L, 240 hp @ 3500 rpm, 406 ft-lbs. @ 1750 rpm,"$53,400 ",        Yes,        Yes,        No,2
41,Audi,RS 5,2014 RS 5 Coupe,2014, 16/23 mpg,Coupe, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 450 hp @ 8250 rpm, 316 ft-lbs. @ 4000 rpm,"$69,600 ",        Yes,        Yes,        No,-1
42,Audi,Q5,2016 Q5 Hybrid,2016, 24/30 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Hybrid,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 245 hp @ 4300 rpm, 354 ft-lbs. @ 1500 rpm,"$52,500 ",        Yes,        Yes,        Yes,0
43,Audi,Q5,2015 Q5 Hybrid,2015, 24/30 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Hybrid,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 245 hp @ 4300 rpm, 354 ft-lbs. @ 1500 rpm,"$51,900 ",        Yes,        Yes,        Yes,0
44,Audi,Q7,2014 Q7 Diesel,2014, 19/28 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Diesel,7,V6, All Wheel Drive, Diesel, 3.0 L, 240 hp @ 3500 rpm, 406 ft-lbs. @ 1750 rpm,"$52,900 ",        Yes,        Yes,        No,2
45,Audi,Q5,2014 Q5 Hybrid,2014, 24/30 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Hybrid,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 245 hp @ 4300 rpm, 354 ft-lbs. @ 1500 rpm,"$51,300 ",        Yes,        Yes,        Yes,0
46,Audi,Q5,2016 Q5 SUV,2016, 20/28 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 220 hp @ 4450 rpm, 258 ft-lbs. @ 1500 rpm,"$40,900 ",        Yes,        Yes,        No,0
47,Audi,Q7,2017 Q7 SUV,2017,Not Available,SUV,Not Available,Not Available, Gas,Not Available,Not Available, All Wheel Drive, Premium unleaded (required),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3
48,Audi,Q5,2015 Q5 SUV,2015, 20/28 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 220 hp @ 4450 rpm, 258 ft-lbs. @ 1500 rpm,"$39,300 ",        Yes,        Yes,        No,0
49,Audi,Q5,2014 Q5 SUV,2014, 20/28 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 220 hp @ 4450 rpm, 258 ft-lbs. @ 1500 rpm,"$37,300 ",        Yes,        Yes,        No,0
50,Audi,Q7,2015 Q7 SUV,2015, 16/22 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,7,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 280 hp @ 4920 rpm, 295 ft-lbs. @ 2150 rpm,"$48,300 ",        Yes,        Yes,        No,2
51,Audi,Q7 e-tron,2016 Q7 e-tron SUV,2016,Not Available,SUV,Not Available,Not Available, Hybrid,Not Available,Not Available, All Wheel Drive, Diesel fuel,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3
52,Audi,R8,2015 R8 Convertible,2015, 11/20 mpg,Convertible, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,2,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 430 hp @ 7900 rpm, 317 ft-lbs. @ 4500 rpm,"$129,400 ",        Yes,        Yes,        No,8
53,Audi,Q7,2014 Q7 SUV,2014, 16/22 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,7,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 280 hp @ 4920 rpm, 295 ft-lbs. @ 2250 rpm,"$47,700 ",        Yes,        Yes,        No,2
54,Audi,R8,2014 R8 Convertible,2014, 11/20 mpg,Convertible, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,2,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 430 hp @ 7900 rpm, 317 ft-lbs. @ 4500 rpm,"$128,400 ",        Yes,        Yes,        No,8
55,Audi,R8,2016 R8 Coupe,2016,Not Available,Coupe,Not Available,Not Available, Gas,Not Available,Not Available, All Wheel Drive, Regular unleaded,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9
56,Audi,R8,2015 R8 Coupe,2015, 11/20 mpg,Coupe, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,2,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 430 hp @ 7900 rpm, 317 ft-lbs. @ 4500 rpm,"$115,900 ",        Yes,        Yes,        No,10
57,Audi,R8,2014 R8 Coupe,2014, 11/20 mpg,Coupe, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,2,V8, All Wheel Drive, Premium unleaded (required), 4.2 L, 430 hp @ 7900 rpm, 317 ft-lbs. @ 4500 rpm,"$114,900 ",        Yes,        Yes,        No,10
58,Audi,S5,2015 S5 Convertible,2015, 18/26 mpg,Convertible, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$60,900 ",        Yes,        Yes,        No,7
59,Audi,S5,2015 S5 Coupe,2015, 17/26 mpg,Coupe, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,4,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$52,500 ",        Yes,        Yes,        No,11
60,Audi,S5,2014 S5 Convertible,2014, 18/26 mpg,Convertible, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$60,400 ",        Yes,        Yes,        No,7
61,Audi,S5,2014 S5 Coupe,2014, 17/26 mpg,Coupe, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,4,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$52,000 ",        Yes,        Yes,        No,11
62,Audi,S5,2016 S5 Coupe,2016, 17/26 mpg,Coupe, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,4,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$53,100 ",        Yes,        Yes,        No,11
63,Audi,S4,2016 S4 Sedan,2016, 17/26 mpg,Sedan, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$49,200 ",        Yes,        Yes,        No,2
64,Audi,S4,2015 S4 Sedan,2015, 17/26 mpg,Sedan, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$48,400 ",        Yes,        Yes,        No,2
65,Audi,S4,2014 S4 Sedan,2014, 17/26 mpg,Sedan, 6-speed Manual, 4 Yr./ 50000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 333 hp @ 5500 rpm, 325 ft-lbs. @ 2900 rpm,"$48,100 ",        Yes,        Yes,        No,2
66,Audi,S3,2016 S3 Sedan,2016, 23/31 mpg,Sedan, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 292 hp @ 5400 rpm, 280 ft-lbs. @ 1900 rpm,"$42,500 ",        Yes,        Yes,        No,0
67,Audi,S6,2014 S6 Sedan,2014, 17/27 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 420 hp @ 5500 rpm, 406 ft-lbs. @ 1400 rpm,"$73,400 ",        Yes,        Yes,        Yes,2
68,Audi,S3,2015 S3 Sedan,2015, 23/31 mpg,Sedan, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 292 hp @ 5400 rpm, 280 ft-lbs. @ 1900 rpm,"$41,100 ",        Yes,        Yes,        No,0
69,Audi,SQ5,2015 SQ5 SUV,2015, 17/24 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 354 hp @ 6000 rpm, 346 ft-lbs. @ 4000 rpm,"$52,700 ",        Yes,        Yes,        No,2
70,Audi,S7,2016 S7 Sedan,2016, 17/27 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 450 hp @ 5800 rpm, 406 ft-lbs. @ 1400 rpm,"$82,900 ",        Yes,        Yes,        Yes,2
71,Audi,SQ5,2014 SQ5 SUV,2014, 16/23 mpg,SUV, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,V6, All Wheel Drive, Premium unleaded (required), 3.0 L, 354 hp @ 6000 rpm, 347 ft-lbs. @ 4000 rpm,"$51,900 ",        Yes,        Yes,        No,2
72,Audi,TT,2014 TT Convertible,2014, 22/31 mpg,Convertible, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,2,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 211 hp @ 4300 rpm, 258 ft-lbs. @ 1600 rpm,"$42,900 ",        Yes,        Yes,        No,5
73,Audi,TTS,2015 TTS Convertible,2015, 22/31 mpg,Convertible, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,2,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 265 hp @ 6000 rpm, 258 ft-lbs. @ 2500 rpm,"$51,700 ",        Yes,        Yes,        No,5
74,Audi,TTS,2014 TTS Convertible,2014, 22/31 mpg,Convertible, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,2,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 265 hp @ 6000 rpm, 258 ft-lbs. @ 2500 rpm,"$51,700 ",        Yes,        Yes,        No,5
75,Audi,TT,2016 TT Coupe,2016, 23/30 mpg,Coupe, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 220 hp @ 4500 rpm, 258 ft-lbs. @ 1600 rpm,"$42,900 ",        Yes,        No,        No,4
76,Audi,TT,2015 TT Coupe,2015, 22/31 mpg,Coupe, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 211 hp @ 4300 rpm, 258 ft-lbs. @ 1600 rpm,"$40,350 ",        Yes,        No,        No,4
77,Audi,S7,2015 S7 Sedan,2015, 17/27 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 420 hp @ 5500 rpm, 406 ft-lbs. @ 1400 rpm,"$82,500 ",        Yes,        Yes,        Yes,2
78,Audi,S7,2014 S7 Sedan,2014, 17/27 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,V8, All Wheel Drive, Premium unleaded (required), 4.0 L, 420 hp @ 5500 rpm, 406 ft-lbs. @ 1400 rpm,"$80,200 ",        Yes,        Yes,        Yes,2
79,Audi,TT,2014 TT Coupe,2014, 22/31 mpg,Coupe, 6-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,4,Inline 4, All Wheel Drive, Premium unleaded (required), 2.0 L, 211 hp @ 4300 rpm, 258 ft-lbs. @ 1600 rpm,"$39,900 ",        Yes,        Yes,        No,4
80,Audi,allroad,2016 allroad Wagon,2016, 21/28 mpg,Wagon, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 220 hp @ 4450 rpm, 258 ft-lbs. @ 1500 rpm,"$42,700 ",        Yes,        Yes,        No,1
81,Audi,allroad,2015 allroad Wagon,2015, 21/28 mpg,Wagon, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 220 hp @ 4450 rpm, 258 ft-lbs. @ 1500 rpm,"$42,400 ",        Yes,        Yes,        No,1
82,Audi,allroad,2014 allroad Wagon,2014, 20/27 mpg,Wagon, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, All Wheel Drive, Premium unleaded (recommended), 2.0 L, 220 hp @ 4450 rpm, 258 ft-lbs. @ 1500 rpm,"$40,700 ",        Yes,        Yes,        No,1
83,Audi,Q3,2016 Q3 SUV,2016, 20/29 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 200 hp @ 5100 rpm, 207 ft-lbs. @ 1700 rpm,"$33,700 ",        Yes,        Yes,        No,0
84,Audi,Q3,2015 Q3 SUV,2015, 20/29 mpg,SUV, 6-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (recommended), 2.0 L, 200 hp @ 5100 rpm, 207 ft-lbs. @ 1700 rpm,"$32,500 ",        Yes,        Yes,        No,0
85,Audi,A6,2016 A6 Sedan,2016, 24/35 mpg,Sedan, 7-speed Automated Manual, 4 Yr./ 50000 Mi., Gas,5,Inline 4, Front Wheel Drive, Premium unleaded (required), 2.0 L, 252 hp @ 5000 rpm, 273 ft-lbs. @ 1600 rpm,"$46,200 ",        Yes,        Yes,        No,0
86,Audi,A6,2016 A6 Diesel,2016, 25/38 mpg,Sedan, 8-speed Shiftable Automatic, 4 Yr./ 50000 Mi., Diesel,5,V6, All Wheel Drive, Diesel, 3.0 L, 240 hp @ 3500 rpm, 428 ft-lbs. @ 1750 rpm,"$59,500 ",        Yes,        Yes,        Yes,2
